text,target,category,polarity,from,to
Nos sentimos muy a gusto.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",servicio~ambiente~comida~,SERVICE#GENERAL~AMBIENCE#GENERAL~FOOD#QUALITY~,positive~positive~positive~,5~15~47~,13~23~53~
Muy recomendable,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",atencion~camareros~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,3~30~,11~39~
"Y la comida espectacular, por eso lo bueno se paga...",comida~,FOOD#QUALITY~,positive~,5~,11~
"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.",salsa provenzal~NULL~,FOOD#PRICES~RESTAURANT#GENERAL~,negative~positive~,45~0~,60~0~
Nada especial.,NULL~,RESTAURANT#GENERAL~,neutral~,0~,0~
"Me habían comentado maravillas y está bien, pero nada más.",NULL~,RESTAURANT#GENERAL~,neutral~,0~,0~
"Las carnes bien, pero como muchas otras.",carnes~,FOOD#QUALITY~,neutral~,4~,10~
"El precio, por lo que es la comida, para mi gusto es elevado.",comida~,FOOD#PRICES~,negative~,28~,34~
"la calidad del producto, el servicio, el entorno todo fue excelente",producto~servicio~entorno~,FOOD#QUALITY~SERVICE#GENERAL~AMBIENCE#GENERAL~,positive~positive~positive~,15~28~41~,23~36~48~
9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.,9reinas~,RESTAURANT#GENERAL~,positive~,0~,7~
El servicio es muy bueno y la calidad de la comida al mismo nivel.,servicio~comida~,SERVICE#GENERAL~FOOD#QUALITY~,positive~positive~,3~44~,11~50~
Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.,NULL~carta~,RESTAURANT#PRICES~FOOD#STYLE_OPTIONS~,positive~positive~,0~103~,0~108~
Volveremos.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.",comida~ambiente~NULL~NULL~,FOOD#QUALITY~AMBIENCE#GENERAL~RESTAURANT#GENERAL~SERVICE#GENERAL~,positive~positive~positive~positive~,25~47~0~0~,31~55~0~0~
Mis amigos quedaron encantados y nosotros tambien.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Vale la pena ir y probar sus carnes.,NULL~carnes~,RESTAURANT#GENERAL~FOOD#QUALITY~,positive~positive~,0~29~,0~35~
"El restaurante es precioso, moderno y acogedor.",restaurante~,AMBIENCE#GENERAL~,positive~,3~,14~
La comida está deliciosa y es de calidad.,comida~,FOOD#QUALITY~,positive~,3~,9~
El servicio muy atento.,servicio~,SERVICE#GENERAL~,positive~,3~,11~
Hemos ido varias veces a cenar al 9reinas y nunca defrauda!,9reinas~,RESTAURANT#GENERAL~,positive~,34~,41~
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,carnes~servicio~bodega~,FOOD#QUALITY~SERVICE#GENERAL~DRINKS#QUALITY~,positive~positive~positive~,18~38~58~,24~46~64~
Sin duda repetiremos.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
restaurante excelente con carne de alta calidad.,restaurante~carne~,RESTAURANT#GENERAL~FOOD#QUALITY~,positive~positive~,0~26~,11~31~
Nos encanto!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",NULL~servicio~comida~apariencia~,RESTAURANT#GENERAL~SERVICE#GENERAL~FOOD#QUALITY~AMBIENCE#GENERAL~,positive~positive~positive~positive~,0~35~48~60~,0~43~54~70~
Hemos ido a cenar y la verdad es que nos ha encantado.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
el sitio es muy bonito la comida estupenda y el trato inmejorable.,sitio~comida~trato~,AMBIENCE#GENERAL~FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~positive~,3~26~48~,8~32~53~
totalmente recomendable,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.",NULL~ambiente~servicio~tiempos~NULL~,RESTAURANT#GENERAL~AMBIENCE#GENERAL~SERVICE#GENERAL~SERVICE#GENERAL~FOOD#QUALITY~,positive~neutral~positive~positive~positive~,0~52~95~40~0~,0~60~103~47~0~
El dulce de leche es divino.,dulce de leche~,FOOD#QUALITY~,positive~,3~,17~
Primera visita a este Restaurante con resultado satisfactorio.,Restaurante~,RESTAURANT#GENERAL~,positive~,22~,33~
"Calidad, profesionalidad y precio acorde con la oferta.",NULL~NULL~NULL~,FOOD#QUALITY~RESTAURANT#PRICES~SERVICE#GENERAL~,positive~positive~positive~,0~0~0~,0~0~0~
Casi como en Argentina.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Fantastico!!!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Delicioso!!!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
resaturante fantástico con excelente comida y servicio aun mejor!!!!,resaturante~comida~servicio~,RESTAURANT#GENERAL~FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~positive~,0~37~46~,11~43~54~
"tremenda amabilidad, es un gustazo!",amabilidad~NULL~,SERVICE#GENERAL~RESTAURANT#GENERAL~,positive~positive~,9~0~,19~0~
"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.",Servicio~platitos para el pan~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~negative~,0~27~,8~47~
Estaria bien musica argentina.,musica argentina~,AMBIENCE#GENERAL~,negative~,13~,29~
Los precios estan dentro de los parametros normales.,NULL~,RESTAURANT#PRICES~,neutral~,0~,0~
Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.,servicio~comida~,SERVICE#GENERAL~FOOD#QUALITY~,positive~positive~,63~94~,71~100~
Enhorabuena!!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.",restaurant~comida~,RESTAURANT#GENERAL~FOOD#PRICES~,positive~negative~,8~57~,18~63~
"La tira de asado normal, nada extraordinaria.",tira de asado~,FOOD#QUALITY~,neutral~,3~,16~
Muy bien los postres y el matambre.,postres~matambre~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,13~26~,20~34~
"Se podria mejorar la iluminación en la planta superior, demasiada luz plana.",iluminación~,AMBIENCE#GENERAL~,negative~,21~,32~
Recomendable 100%.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Un sitio precioso, con un ambiente exquisito.",sitio~ambiente~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~,3~26~,8~34~
El servicio inmejorable y la comida excepcional!!,servicio~comida~,SERVICE#GENERAL~FOOD#QUALITY~,positive~positive~,3~29~,11~35~
Exquisitas las ensaladas y la carne.,ensaladas~carne~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,15~30~,24~35~
