Review,AMBIENCE,QUALITY,PRICES,LOCATION,SERVICE
Обслуживание хорошее нас встретил метрдотель и провёл до столика который отлично нам подашел.,0,0,0,0,1
"Он был в уютном уголке в конце главного зала, приглушенный свет это основная часть этого ресторана там нет дневного освещения это было большим плюсом для нашего дня рожденья!",1,0,0,0,0
"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!",0,1,1,0,0
"Ближе к вечеру нас предупредили о том, что будет живая музыка, мы так обрадовались этому неожиданному сюрпризу у нас как раз подошло время для танцев, а тут сопровождает такой прекрасный голос солистки……!!!",1,0,0,0,0
"Еда вкусная, необычная.",0,1,0,0,0
Интересно будет зайти и попробовать что-нибудь еще),0,1,0,0,0
"По поводу интерьера: место спокойное, шумных компаний нет (не было, по крайней мере, в момент нашего посещения), очень приятная и уютная атмосфера, все в лучших традициях.",1,0,0,0,0
"Я несколько раз была в этом заведении,о кухне могу сказать только самое хорошее.",0,1,0,0,0
"Потрясающая паста с лососем,очень вкусные супчики,отличные десерты.",0,1,0,0,0
"Последний раз была с друзьями,все остались довольны и обслуживанием и едой.",0,1,0,0,1
"Интерьер не плохой, несколько залов на разный вкус и компанию.",1,0,0,0,0
"Интерьер в легком французском стиле с приятным освещением на столиках, обслуживание без навязывания лишних блюд и напитков (официантка Анна), все происходило четко и быстро.",1,0,0,0,1
Ну а о качестве и исполнении блюд даже нечего говорить!,0,1,0,0,0
"Взяли все разные салаты и горячие, и все остались очень довольны (ирыба, и мясо, и птица).",0,1,0,0,0
Все красиво украшено и приготовлено прямо перед подачей на стол.,0,1,0,0,0
Большое спасибо персоналу ресторана за душевный и качественный прием.,0,0,0,0,1
Очень много недочетов как в работе официантов так и в блюдах. 1.,0,1,0,0,1
"К большому удивлению пицца (ещё раз - из детского меню!) была на столько острая, что и взрослые не смогли её есть, не говоря уже о ребенке.",0,1,0,0,0
"Официант вообще прокомментировала это так, что детское меню - это для взрослых, которые хотят заказать маленькие порции, а не для детей. :)) 2.",0,0,0,0,1
"Попросили принести обычный яблочный сок, не свежевыжатый, принесли свежевыжатый, пришлось вернуть. 3.",0,0,0,0,1
"Просили принести ""свежевыжатый сок в большом стакане + газированную воду"" сок принесли в маленьком стакане про воду забыли. 4.",0,0,0,0,1
"Официант сказал ""у нас все вкусное"" и помочь с выбором не смог.",0,0,0,0,1
"За кухню оценка 3, т.к. из всего заказа понравилась только панакота.",0,1,0,0,0
Салат Цезарь был так себе + очень острая пицца из детского меню.,0,1,0,0,0
"За сервис 3, т.к. официант путала заказы, не могла помочь с выбором (или не хотела, когда клиент просит помочь определиться, он не хочет услышать ""все вкусное, берите все"").",0,0,0,0,1
