text,target,category,polarity,from,to
Добрый час суток.,,,,,
Меня зовут Влада!,,,,,
Я со своим молодым человеком и пару его друзей отмечали день рожденье буквально на днях в этом ресторане.,,,,,
Обслуживание хорошее нас встретил метрдотель и провёл до столика который отлично нам подашел.,Обслуживание~метрдотель~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,0~34~,12~44~
"Он был в уютном уголке в конце главного зала, приглушенный свет это основная часть этого ресторана там нет дневного освещения это было большим плюсом для нашего дня рожденья!",уголке~приглушенный свет~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~,16~46~,22~63~
"Просто мы пришли днем часиков в четыре, так что вечер приятно продлился…...",,,,,
"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!",блюд~улитки~улитки~блюда из мяса на мангале~блюда из мяса на мангале~мяса на мангале~,FOOD#QUALITY~FOOD#PRICES~FOOD#QUALITY~FOOD#QUALITY~FOOD#STYLE_OPTIONS~FOOD#QUALITY~,positive~positive~positive~positive~positive~positive~,53~75~75~175~175~306~,57~81~81~199~199~321~
"Ближе к вечеру нас предупредили о том, что будет живая музыка, мы так обрадовались этому неожиданному сюрпризу у нас как раз подошло время для танцев, а тут сопровождает такой прекрасный голос солистки……!!!",живая музыка~голос солистки~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~,49~187~,61~201~
"В общем мы остались безумно довольны проведённым вечером в этом ресторане, так что всем советуем))",ресторане~,RESTAURANT#GENERAL~,positive~,64~,73~
Были в Дитае на прошлой неделе с подругой.,,,,,
"Зашли случайно, обе в китайских ресторанах не бывали, решили попробовать, что это такое.",,,,,
"Что заказывать не знали, положились на вкус официантки.",,,,,
Совершенно не разочаровались!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Подруге принесли судака, мне - свинину по-пекински.",,,,,
"Еда вкусная, необычная.",Еда~,FOOD#QUALITY~,positive~,0~,3~
Интересно будет зайти и попробовать что-нибудь еще),NULL~,FOOD#QUALITY~,positive~,0~,0~
"По поводу интерьера: место спокойное, шумных компаний нет (не было, по крайней мере, в момент нашего посещения), очень приятная и уютная атмосфера, все в лучших традициях.",интерьера~место~атмосфера~,AMBIENCE#GENERAL~RESTAURANT#GENERAL~AMBIENCE#GENERAL~,neutral~neutral~positive~,10~21~137~,19~26~146~
Остались очень довольны данным заведением.,заведением~,RESTAURANT#GENERAL~,positive~,31~,41~
"Я несколько раз была в этом заведении,о кухне могу сказать только самое хорошее.",кухне~,FOOD#QUALITY~,positive~,40~,45~
"Потрясающая паста с лососем,очень вкусные супчики,отличные десерты.",паста с лососем~супчики~десерты~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~,12~42~59~,27~49~66~
"Последний раз была с друзьями,все остались довольны и обслуживанием и едой.",обслуживанием~едой~,SERVICE#GENERAL~FOOD#QUALITY~,positive~positive~,54~70~,67~74~
"Интерьер не плохой, несколько залов на разный вкус и компанию.",Интерьер~залов~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,neutral~neutral~,0~30~,8~35~
Вообщем стоящее место для обеда и посиделок с друзьями.,место~,RESTAURANT#GENERAL~,positive~,16~,21~
"Вчера отмечали день рождения в ресторане, сходив туда за два дня на разведку.",,,,,
"Нам двоим все понравилось и мы решили пригласить туда гостей, одна из которых по части еды была большим знатоком и критиком.",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Сразу хочу сказать, что критиковать ей не пришлось, т.к. она осталась, как впрочем и все остальные гости, очень довольна!",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Интерьер в легком французском стиле с приятным освещением на столиках, обслуживание без навязывания лишних блюд и напитков (официантка Анна), все происходило четко и быстро.",Интерьер~освещением~обслуживание~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~SERVICE#GENERAL~,neutral~positive~neutral~,0~47~71~,8~57~83~
Ну а о качестве и исполнении блюд даже нечего говорить!,качестве и исполнении блюд~блюд~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,7~29~,33~33~
"Взяли все разные салаты и горячие, и все остались очень довольны (ирыба, и мясо, и птица).",салаты~горячие~ирыба~мясо~птица~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~positive~positive~,17~26~66~75~83~,23~33~71~79~88~
Все красиво украшено и приготовлено прямо перед подачей на стол.,NULL~,FOOD#QUALITY~,positive~,0~,0~
"Думаю, что этот доселе незнакомый нам в центре города ресторан ""Веритас"", станет нашим семейным местом встреч!","ресторан ""Веритас""~",RESTAURANT#GENERAL~,positive~,54~,72~
"Теперь при вопросе от знакомых ""в какой ресторан сходить с гостями из Москвы или отпраздновать день рождения?"" мы будем советовать ""Веритас"".","""Веритас""~",RESTAURANT#GENERAL~,positive~,131~,140~
Большое спасибо персоналу ресторана за душевный и качественный прием.,персоналу~прием~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,16~63~,25~68~
Дальнейших вам успехов!,,,,,
"Посетили этот ресторан 25,08,12.",,,,,
После посещения желания прийти ещё раз нет.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Очень много недочетов как в работе официантов так и в блюдах. 1.,официантов~блюдах~,SERVICE#GENERAL~FOOD#QUALITY~,negative~negative~,35~54~,45~60~
"Были с ребенком, заказали из детского меню пиццу.",,,,,
