text,target,category,polarity,from,to
"Judging from previous posts this used to be a good place, but not any longer.",place~,RESTAURANT#GENERAL~,negative~,51~,56~
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff~,SERVICE#GENERAL~,negative~,75~,80~
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
The food was lousy - too sweet or too salty and the portions tiny.,food~portions~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,negative~negative~,4~52~,8~60~
"After all that, they complained to me about the small tip.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
Avoid this place!,place~,RESTAURANT#GENERAL~,negative~,11~,16~
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food~,FOOD#QUALITY~,positive~,38~,42~
Saul is the best restaurant on Smith Street and in Brooklyn.,Saul~,RESTAURANT#GENERAL~,positive~,0~,4~
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs~duck confit~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,42~4~,69~15~
The wine list is interesting and has many good values.,wine list~wine list~,DRINKS#STYLE_OPTIONS~DRINKS#PRICES~,positive~positive~,4~4~,13~13~
"For the price, you cannot eat this well in Manhattan.",NULL~NULL~,RESTAURANT#PRICES~FOOD#QUALITY~,positive~positive~,0~0~,0~0~
I was very disappointed with this restaurant.,restaurant~,RESTAURANT#GENERAL~,negative~,34~,44~
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant~,SERVICE#GENERAL~,negative~,12~,26~
I had to ask her three times before she finally came back with the dish Ive requested.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Food was okay, nothing great.",Food~,FOOD#QUALITY~,neutral~,0~,4~
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun~pork shu mai~NULL~,FOOD#QUALITY~FOOD#QUALITY~RESTAURANT#MISCELLANEOUS~,negative~negative~negative~,0~18~0~,8~30~0~
I/we will never go back to this place again.,place~,RESTAURANT#GENERAL~,negative~,32~,37~
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish~,RESTAURANT#GENERAL~,positive~,35~,39~
