Review,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
Nos sentimos muy a gusto.,0,0,0,0,0,0,0,0,1,0,0,0
"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",1,0,0,0,0,1,0,0,0,0,0,1
Muy recomendable,0,0,0,0,0,0,0,0,1,0,0,0
"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",0,0,0,0,0,0,0,0,0,0,0,1
"Y la comida espectacular, por eso lo bueno se paga...",0,0,0,0,0,1,0,0,0,0,0,0
"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.",0,0,0,0,1,0,0,0,1,0,0,0
Nada especial.,0,0,0,0,0,0,0,0,1,0,0,0
"Me habÃ­an comentado maravillas y estÃ¡ bien, pero nada mÃ¡s.",0,0,0,0,0,0,0,0,1,0,0,0
"Las carnes bien, pero como muchas otras.",0,0,0,0,0,1,0,0,0,0,0,0
"El precio, por lo que es la comida, para mi gusto es elevado.",0,0,0,0,1,0,0,0,0,0,0,0
"la calidad del producto, el servicio, el entorno todo fue excelente",1,0,0,0,0,1,0,0,0,0,0,1
9reinas ya sido una de las mejores experiencias que hemos tenido en los Ãºltimos aÃ±os.,0,0,0,0,0,0,0,0,1,0,0,0
El servicio es muy bueno y la calidad de la comida al mismo nivel.,0,0,0,0,0,1,0,0,0,0,0,1
Los precios adecuados  y bien puedes hacer un mayor o menor gasto en funciÃ³n de tu bolsillo por que la carta es muy amplia.,0,0,0,0,0,0,1,0,0,0,1,0
Volveremos.,0,0,0,0,0,0,0,0,1,0,0,0
"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.",1,0,0,0,0,1,0,0,1,0,0,1
Mis amigos quedaron encantados y nosotros tambien.,0,0,0,0,0,0,0,0,1,0,0,0
Vale la pena ir y probar sus carnes.,0,0,0,0,0,1,0,0,1,0,0,0
"El restaurante es precioso, moderno y acogedor.",1,0,0,0,0,0,0,0,0,0,0,0
La comida estÃ¡ deliciosa y es de calidad.,0,0,0,0,0,1,0,0,0,0,0,0
El servicio muy atento.,0,0,0,0,0,0,0,0,0,0,0,1
Hemos ido varias veces a cenar al 9reinas y nunca defrauda!,0,0,0,0,0,0,0,0,1,0,0,0
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,0,0,1,0,0,1,0,0,0,0,0,1
Sin duda repetiremos.,0,0,0,0,0,0,0,0,1,0,0,0
restaurante excelente con carne de alta calidad.,0,0,0,0,0,1,0,0,1,0,0,0
Nos encanto!,0,0,0,0,0,0,0,0,1,0,0,0
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",1,0,0,0,0,1,0,0,1,0,0,1
Hemos ido a cenar y la verdad es que nos ha encantado.,0,0,0,0,0,0,0,0,1,0,0,0
el sitio es muy bonito la comida estupenda y el trato inmejorable.,1,0,0,0,0,1,0,0,0,0,0,1
totalmente recomendable,0,0,0,0,0,0,0,0,1,0,0,0
"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.",1,0,0,0,0,1,0,0,1,0,0,1
El dulce de leche es divino.,0,0,0,0,0,1,0,0,0,0,0,0
Primera visita a este Restaurante con resultado satisfactorio.,0,0,0,0,0,0,0,0,1,0,0,0
"Calidad, profesionalidad y precio acorde con la oferta.",0,0,0,0,0,1,0,0,0,0,1,1
Casi como en Argentina.,0,0,0,0,0,0,0,0,1,0,0,0
Fantastico!!!,0,0,0,0,0,0,0,0,1,0,0,0
Delicioso!!!,0,0,0,0,0,0,0,0,1,0,0,0
resaturante fantÃ¡stico con excelente comida y servicio aun mejor!!!!,0,0,0,0,0,1,0,0,1,0,0,1
"tremenda amabilidad, es un gustazo!",0,0,0,0,0,0,0,0,1,0,0,1
"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.",0,0,0,0,0,0,0,0,0,0,0,1
Estaria bien musica argentina.,1,0,0,0,0,0,0,0,0,0,0,0
Los precios estan dentro de los parametros normales.,0,0,0,0,0,0,0,0,0,0,1,0
Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fuÃ© excelente.,0,0,0,0,0,1,0,0,0,0,0,1
Enhorabuena!!,0,0,0,0,0,0,0,0,1,0,0,0
"Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.",0,0,0,0,1,0,0,0,1,0,0,0
"La tira de asado normal, nada extraordinaria.",0,0,0,0,0,1,0,0,0,0,0,0
